TRANSACTION_ID,payee_id,paid_by_id,Payment_Amount,Payment_Date,expenditure_id,Date_Reported,Report_Filed_id,expense_category_id,expense_detail_id,expense_note,Correction,View_Report,,
R20200925100711134-F00038,5611,37373,662.49,10/9/2020,810,10/27/2020,C11,P971,, Literature.,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349370),,
R20201030100711158-F00002,8048,74250,72.83,10/30/2020,698,10/31/2020,P61,F358,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349737),,
R20230101100716360-F00028,2244,38481,76.75,3/2/2023,124,7/17/2023,G50,O200,W76,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),,
R20220930100714719-F00024,5404,42049,225,10/11/2022,810,10/31/2022,C89,A838,C72, Print advertisement,,View Report (https://services.austintexas.gov/edims/document.cfm?id=396040),,
R20240701100718647-F00286,4690,42049,475,7/26/2024,810,10/7/2024,C89,S220,F34,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=438509),,
R20190117084958-F0003,1132,88116,570,11/6/2018,810,1/15/2019,S60,S220,, Campus Organizer,,View Report (https://services.austintexas.gov/edims/document.cfm?id=313410),,
R20180716172843-F0044,9253,30341,1.62,5/16/2018,389,7/16/2018,C89,O200,, Office Supplies,,View Report (https://services.austintexas.gov/edims/document.cfm?id=302137),,
R20190116165416-F0001,8797,30341,592,11/5/2018,810,1/15/2019,C89,S220,C16,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=313374),,
R20221102100714788-F00004,5937,98048,3159.66,11/2/2022,698,11/11/2022,C30,A838,,,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=397050),,
R20221030100714854-F00009,3409,60312,60,11/22/2022,810,12/5/2022,C89,O200,, Sign Delivery,,View Report (https://services.austintexas.gov/edims/document.cfm?id=398868),,
R20190116165416-F0006,5401,30341,6.46,11/4/2018,810,1/15/2019,C89,A838,, campaign flyers,,View Report (https://services.austintexas.gov/edims/document.cfm?id=313374),,
R20210924100712548-F00141,6775,38481,44,10/4/2021,810,10/25/2021,G50,A838,D31, nextdoor app ads,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),,
R20220101100714072-F00074,3249,13591,13.74,4/15/2022,810,7/13/2022,C89,O200,, ride share,,View Report (https://services.austintexas.gov/edims/document.cfm?id=387559),,
R20210101100711980-F00012,8772,80130,79.9,4/20/2021,810,7/15/2021,C89,O200,S88, Virtual meeting software,,View Report (https://services.austintexas.gov/edims/document.cfm?id=363471),,
R20181101162611-F0031,3303,59483,640,10/4/2018,,10/29/2018,I31,S220,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=309462),,
R20210323100711543-F00038,7452,38481,4440,4/21/2021,810,4/23/2021,G50,A838,C72, Newspaper Ads,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359068),,
R20190718095418-F0003,9588,14939,2000,1/3/2019,810,7/15/2019,S60,C815,, Consulting bonus,,View Report (https://services.austintexas.gov/edims/document.cfm?id=323476),,
R20181030174338-F0055,5668,95928,1500,9/5/2018,810,10/29/2018,C89,O200,, Office rent,,View Report (https://services.austintexas.gov/edims/document.cfm?id=309516),,
R20220101100714191-F00009,8924,36455,2425,3/21/2022,810,7/15/2022,C89,C815,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=387746),,
R20200701100711321-F00087,6771,59924,181.73,11/3/2020,810,1/19/2021,C11,F358,, food provided for volunteers,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=353426),,
R20230101100716360-F00044,3172,38481,35.72,4/3/2023,124,7/17/2023,G50,O200,W76, Website Services,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),,
R20240101100718361-F00072,3954,72939,99.14,3/18/2024,810,8/1/2024,C11,A216 ,S88,,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=433382),,
R20201117100711209-F00005,6598,33528,792.39,11/18/2020,810,12/7/2020,S60,P971,, Doorhangers and printed materials for D6/D10 runoff,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351648),,
R20181010165304-F0035,4661,41576,232.67,9/27/2018,810,10/9/2018,C89,F803,C26,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=307429),,
R20241027100719104-F00052,5956,47811,15,12/6/2024,810,1/15/2025,C89,O834,, Parking,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444140),,
R20241027100719052-F00001,9663,44867,1737.99,12/30/2024,810,1/15/2025,C89,O834,, Reimbursement of Political Expenditures from Personal Funds ,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444139),,
R20161012170815-F0009,8409,51421,650,9/5/2016,810,10/11/2016,C89,S220,, Office Work,,View Report (https://services.austintexas.gov/edims/document.cfm?id=264499),,
R20181010163708-F0006,6591,88444,69.29,8/28/2018,810,10/9/2018,C89,A838,, Email Distribution,,View Report (https://services.austintexas.gov/edims/document.cfm?id=307420),,
R20220701100714532-F00090,9848,42049,4973.9,7/27/2022,810,10/11/2022,C89,P971, yard signs, yard signs,,View Report (https://services.austintexas.gov/edims/document.cfm?id=394416),,
R20230701100716507-F00011,5167,94897,6.46,7/20/2023,810,10/5/2023,G50,O834, Credit Card Processing Fee  , Credit Card Processing Fee  ,,View Report (https://services.austintexas.gov/edims/document.cfm?id=416701),,
R20240101100718008-F00061,9140,72939,2000,5/30/2024,810,7/14/2024,C89,S220,, Personnel expense for May 2024,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432363),,
R20160726163007-F0007,9401,89295,300,2/16/2016,810,7/26/2016,C89,C614,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=258178),,
R20210701100712312-F00246,2868,38481,42.12,8/2/2021,810,10/4/2021,G50,P278,, online petition distribution,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),,
R20201026100711317-F00001,8676,72272,1732,12/3/2020,124,1/15/2021,G50,C815,, Fee for designing promotional materials.,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),,
R20181030174338-F0006,1346,95928,825,9/20/2018,810,10/29/2018,C89,A838,, Political print advertising,,View Report (https://services.austintexas.gov/edims/document.cfm?id=309516),,
R20161031143039-F0013,7288,43558,800,10/6/2016,810,10/31/2016,C89,S220,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=265598),,
R20200720100711289-F00057,5350,20116,1500,9/2/2020,810,1/15/2021,S60,C815,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353347),,
R20200925100711259-F00018,8564,80130,32.79,10/1/2020,810,12/15/2020,C11,A838,D31,,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=352204),,
R20250226100719551-F00001,8456,90105,8015.63,3/17/2025,810,3/26/2025,M65,E470,, Legislative staff appreciation event at the Stephen F Austin Royal Sonesta Hotel,,View Report (https://services.austintexas.gov/edims/document.cfm?id=448080),,
R20220101100714206-F00003,4661,99656,1.63,2/21/2022,810,7/15/2022,C89,F803,W76,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=388206),,
R20161026140252-F0002,2780,52045,86.49,10/21/2016,,10/25/2016,I31,O200,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=265451),,
R20220701100714641-F00045,5470,36455,500,7/10/2022,810,10/11/2022,C89,F803,, Filing fee,,View Report (https://services.austintexas.gov/edims/document.cfm?id=394421),,
R20180124165608-F0151,6155,11918,250,8/24/2017,810,1/18/2018,S60,S220,, Petition Manager,,View Report (https://services.austintexas.gov/edims/document.cfm?id=291341),,
R20220701100714549-F00022,9848,37066,4838.01,8/24/2022,810,10/9/2022,C89,P971,, Printing yard signs road signs business cards name badges,,View Report (https://services.austintexas.gov/edims/document.cfm?id=394211),,
R20181010165457-F0011,3178,67419,405.92,7/19/2018,810,10/9/2018,C89,S220,, Payroll Taxes,,View Report (https://services.austintexas.gov/edims/document.cfm?id=307412),,
R20200116171424-F0001,2507,53016,9,7/31/2019,810,1/15/2020,S60,F803,B64, ,,View Report (https://services.austintexas.gov/edims/document.cfm?id=334107),,
R20240701100718655-F00036,1129,81149,31.99,7/16/2024,810,10/7/2024,C89,T858,, Travel to/from Campaign Event,,View Report (https://services.austintexas.gov/edims/document.cfm?id=438541),,
R20201025100711282-F00062,4211,80130,10529.48,12/3/2020,810,1/15/2021,C11,P971,, campaign literature,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=353334),,
R20170117133514-F0018,4540,44988,806.5,11/14/2016,810,1/17/2017,C89,S220,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=269910),,
R20161011160205-F0028,8471,43558,31,7/25/2016,810,10/11/2016,C89,O200,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=264528),,
R20200925100711134-F00003,9794,37373,2560,10/8/2020,810,10/27/2020,C11,C815,D31, Social media management and voter data.,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349370),,
R20241027100719028-F00003,3080,31670,7667.13,11/21/2024,810,12/10/2024,C11,S220,,,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=442752),,
R20210924100712548-F00112,2244,38481,3000,10/20/2021,810,10/25/2021,G50,A838,D31, google ads,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),,
R20221030100714787-F00045,7752,37373,30.31,12/20/2022,810,1/17/2023,C89,O834,W76,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=401213),,
R20200701100711030-F00005,2516,24064,6890,8/12/2020,810,10/5/2020,S60,C815,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348167),,
R20240101100718324-F00145,4698,42049,150,6/28/2024,810,7/15/2024,C89,S220,F34,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432411),,
R20181010164003-F0015,1193,57551,476.76,9/4/2018,810,10/9/2018,C89,L114,, Partial Reimbursement for expenses reported in Schedule G,,View Report (https://services.austintexas.gov/edims/document.cfm?id=307442),,
R20181101162611-F0011,1795,59483,356.5,10/18/2018,,10/29/2018,I31,S220,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=309462),,
R20181030172904-F0002,4112,30927,378,10/15/2018,490,10/29/2018,P61,O834,T69,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=309456),,
R20200116172459-F0016,7583,32095,105,11/5/2019,810,1/15/2020,S60,S220,, Canvassers,,View Report (https://services.austintexas.gov/edims/document.cfm?id=334125),,
R20190716154521-F0026,5820,24907,11000,6/26/2019,810,7/15/2019,S60,P696,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=323495),,
R20240101100718337-F00007,4663,81149,1178,5/31/2024,810,7/15/2024,C89,O200,, VAN Access,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432414),,
R20200701100711195-F00069,5176,59924,31.39,10/25/2020,810,1/15/2021,S60,O200,, database platform used to type in all signature names,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353128),,
